,,,,,,,
ID,กลุ่มประเภทเหตุเสีย,เหตุเสียจาก Scoms,อาการ,จุดที่ต้องเช็คจุดแรก,ขั้นตอนการตรวจแก้,ค่าปกติ,อุปกรณ์ที่ใช้ในการแก้ไข
U0015,รับ-ส่ง Mail ไม่ได้,ส่ง Mail ไม่ได้,เล่นเน็ตได้ แต่ส่ง Email ไม่ผ่าน (WebMail),ลองทดสอบการใช้งาน Webmail ด้วย Web Browser อื่นๆ, ,,
U0016,เปิดหน้า WEB ไม่ได้,DNS ล่ม,เข้าเว็บไม่ได้บางเว็บ,ตรวจสอบสถานะไฟ ONU ว่าติดครบหรือไม่,"- เบื้องต้น เปลื่ยนการตั้งค่า DNS ให้เป็น DNS google IP: 8.8.8.8 ,8.8.4.4",,
,,,เข้าเว็บไม่ได้ทุกเว็บ,ตรวจสอบสถานะไฟ ONU ว่าติดครบหรือไม่,"- เบื้องต้น เปลื่ยนการตั้งค่า DNS ให้เป็น DNS google IP: 8.8.8.8 ,8.8.4.5",,
U0017,Speed ตก,Up Speed,Testspeed ได้ไม่ตรงตามที่ขอปรับ,ตรวจสอบสถานะการเชื่อมต่อ ให้ต่อเป็นสาย Lan (Speed สาย Lan 1000M),"1. ตรวจสอบหน้า NTSP ว่าลูกค้าได้รับการปรับ Speed แล้วหรือยัง
2. ตรวจสอบการเชื่อมต่อของสาย Lan กับ ONU
3. ปิด-เปิด ONU 1 ครั้งหลังจากที่มีการแจ้ง Up Speed
4. ลองทำการ Test Speed อีกครั้ง ผ่านสาย Lan",,
U0018,ไฟ Pon กระพริบ,ติดตั้งใหม่ ใช้ไม่ได้,เข้าเว็บไม่ได้ทุกเว็บ,ตรวจสอบสถานะไฟของ ONU และการเชื่อมต่อของ ONU กับ Computer,"1. ตรวจสอบสถานะไฟ ONU หากติดครบทุกดวงให้ลองเข้าไปตรวจสอบการตั้งใน ONU อีกครั้ง
2. หากตรวจสอบการตั้งค่าถูกต้องทั้งหมด ให้โทรตรวจสอบสถานะการ allow onu กับทาง บลนน.",,
U0019,IP-Phone,ไม่มีสัญญาณทั้งเข้าและออก,,,,,
U0020,IP-Phone,โทรออกไม่ได้,,,,,
U0021,IP-Phone,โทรเข้า-ออกไม่ได้,,,,,
U0022,Disconnect บ่อย,ดีๆเสียๆ,ใช้ Lan แล้วยังหลุดบ่อย,"1. ตรวจสอบการเชื่อมต่อของสายว่าแน่นหรือไม่
2. ตรวจสอบค่า Power","- ใช้ Power Meter จิ้มวัดที่ปลายสาย Patch Cord
- ตัวเลขต้องนิ่ง ห้ามแกว่งเกิน +/- 0.5 dBm
- ถ้าแกว่ง: ให้ทำความสะอาดหัว Connector หรือ Splice ใหม่",ไม่เกิน เกิน +/- 0.5 dBm,"Power Meter, ปากกาเช็ดหัว"
,,,ใช้ Wi-Fi ได้บ้างไม่ได้บ้าง,ดูช่อง Channel ของตัว Wi-Fi ว่าชนไหม,"- ใช้แอป WiFi Analyzer เช็ค Channel ที่ว่าง
- 2.4GHz แนะนำ Fix Channel 1, 6 หรือ 11
- ถ้าลูกค้ามีอุปกรณ์รองรับ ให้แนะนำเกาะ 5GHz เสมอ",,WiFi Analyzer App
